spans	sentence
0 2	Virginia Cathryn Rowlands was born at Madison on 19 June 1930 . His mother is Lady Rowlands
6 6	Virginia Cathryn Rowlands was born at Madison on 19 June 1930 . His mother is Lady Rowlands
8 10	Virginia Cathryn Rowlands was born at Madison on 19 June 1930 . His mother is Lady Rowlands
15 16	Virginia Cathryn Rowlands was born at Madison on 19 June 1930 . His mother is Lady Rowlands
0 2	Linda Maria Ronstadt was born at Tucson on 15 July 1946 . His mother is Ruth Mary Ronstadt
6 6	Linda Maria Ronstadt was born at Tucson on 15 July 1946 . His mother is Ruth Mary Ronstadt
8 10	Linda Maria Ronstadt was born at Tucson on 15 July 1946 . His mother is Ruth Mary Ronstadt
15 17	Linda Maria Ronstadt was born at Tucson on 15 July 1946 . His mother is Ruth Mary Ronstadt
0 2	Mary Anne MacLeod was born at Tong on 10 May 1912 . His mother is Mary Smith
6 6	Mary Anne MacLeod was born at Tong on 10 May 1912 . His mother is Mary Smith
8 10	Mary Anne MacLeod was born at Tong on 10 May 1912 . His mother is Mary Smith
15 16	Mary Anne MacLeod was born at Tong on 10 May 1912 . His mother is Mary Smith
0 2	Patricia Campbell Hearst was born at San Francisco on 20 February 1954 . His mother is Catherine Wood Campbell
6 7	Patricia Campbell Hearst was born at San Francisco on 20 February 1954 . His mother is Catherine Wood Campbell
9 11	Patricia Campbell Hearst was born at San Francisco on 20 February 1954 . His mother is Catherine Wood Campbell
16 18	Patricia Campbell Hearst was born at San Francisco on 20 February 1954 . His mother is Catherine Wood Campbell
0 1	Maxine Birley was born at West Dean on 25 June 1922 . His mother is Rhoda Vava Mary Lecky Pike
5 6	Maxine Birley was born at West Dean on 25 June 1922 . His mother is Rhoda Vava Mary Lecky Pike
8 10	Maxine Birley was born at West Dean on 25 June 1922 . His mother is Rhoda Vava Mary Lecky Pike
15 19	Maxine Birley was born at West Dean on 25 June 1922 . His mother is Rhoda Vava Mary Lecky Pike
0 2	Chelsea Victoria Clinton was born at Little Rock on 27 February 1980 . His mother is Hillary Clinton
6 7	Chelsea Victoria Clinton was born at Little Rock on 27 February 1980 . His mother is Hillary Clinton
9 11	Chelsea Victoria Clinton was born at Little Rock on 27 February 1980 . His mother is Hillary Clinton
16 17	Chelsea Victoria Clinton was born at Little Rock on 27 February 1980 . His mother is Hillary Clinton
0 1	Julia Floyd was born on 19 November 1795 . His mother is Rebecca Juliana Darke
5 7	Julia Floyd was born on 19 November 1795 . His mother is Rebecca Juliana Darke
12 14	Julia Floyd was born on 19 November 1795 . His mother is Rebecca Juliana Darke
0 1	Julia Floyd was born on 01 January 1795 . His mother is Rebecca Juliana Darke
5 7	Julia Floyd was born on 01 January 1795 . His mother is Rebecca Juliana Darke
12 14	Julia Floyd was born on 01 January 1795 . His mother is Rebecca Juliana Darke
0 3	Anwar Mohamed Gerard Hadid was born at Los Angeles on 22 June 1999 . His mother is Yolanda Hadid
7 8	Anwar Mohamed Gerard Hadid was born at Los Angeles on 22 June 1999 . His mother is Yolanda Hadid
10 12	Anwar Mohamed Gerard Hadid was born at Los Angeles on 22 June 1999 . His mother is Yolanda Hadid
17 18	Anwar Mohamed Gerard Hadid was born at Los Angeles on 22 June 1999 . His mother is Yolanda Hadid
0 2	Grace Barnett Wing was born at Highland Park on 30 October 1939 . His mother is Virginia Barnett
6 7	Grace Barnett Wing was born at Highland Park on 30 October 1939 . His mother is Virginia Barnett
9 11	Grace Barnett Wing was born at Highland Park on 30 October 1939 . His mother is Virginia Barnett
16 17	Grace Barnett Wing was born at Highland Park on 30 October 1939 . His mother is Virginia Barnett
0 2	Barron William Trump was born at Manhattan on 20 March 2006 . His mother is Melania Trump
6 6	Barron William Trump was born at Manhattan on 20 March 2006 . His mother is Melania Trump
8 10	Barron William Trump was born at Manhattan on 20 March 2006 . His mother is Melania Trump
15 16	Barron William Trump was born at Manhattan on 20 March 2006 . His mother is Melania Trump
0 2	Julia Margaret Pattle was born at Garden Reach on 11 June 1815 . His mother is Adeline Maria de l\'Etang
6 7	Julia Margaret Pattle was born at Garden Reach on 11 June 1815 . His mother is Adeline Maria de l\'Etang
9 11	Julia Margaret Pattle was born at Garden Reach on 11 June 1815 . His mother is Adeline Maria de l\'Etang
16 19	Julia Margaret Pattle was born at Garden Reach on 11 June 1815 . His mother is Adeline Maria de l\'Etang
0 2	Julia Margaret Pattle was born at Kolkata on 11 June 1815 . His mother is Adeline Maria de l\'Etang
6 6	Julia Margaret Pattle was born at Kolkata on 11 June 1815 . His mother is Adeline Maria de l\'Etang
8 10	Julia Margaret Pattle was born at Kolkata on 11 June 1815 . His mother is Adeline Maria de l\'Etang
15 18	Julia Margaret Pattle was born at Kolkata on 11 June 1815 . His mother is Adeline Maria de l\'Etang
0 2	Thomas Kane McClintock-Bunbury was born on 29 November 1848 . His mother is Pauline Caroline Diana Mary Stronge
6 8	Thomas Kane McClintock-Bunbury was born on 29 November 1848 . His mother is Pauline Caroline Diana Mary Stronge
13 17	Thomas Kane McClintock-Bunbury was born on 29 November 1848 . His mother is Pauline Caroline Diana Mary Stronge
0 2	Caroline Bouvier Kennedy was born at Manhattan on 27 November 1957 . His mother is Jacqueline Kennedy Onassis
6 6	Caroline Bouvier Kennedy was born at Manhattan on 27 November 1957 . His mother is Jacqueline Kennedy Onassis
8 10	Caroline Bouvier Kennedy was born at Manhattan on 27 November 1957 . His mother is Jacqueline Kennedy Onassis
15 17	Caroline Bouvier Kennedy was born at Manhattan on 27 November 1957 . His mother is Jacqueline Kennedy Onassis
0 2	Rebecca Maria Hall was born at London on 03 May 1982 . His mother is Maria Ewing
6 6	Rebecca Maria Hall was born at London on 03 May 1982 . His mother is Maria Ewing
8 10	Rebecca Maria Hall was born at London on 03 May 1982 . His mother is Maria Ewing
15 16	Rebecca Maria Hall was born at London on 03 May 1982 . His mother is Maria Ewing
0 1	Dale Carnegie was born at Maryville on 24 November 1888 . His mother is Amanda Elizabeth Harbison
5 5	Dale Carnegie was born at Maryville on 24 November 1888 . His mother is Amanda Elizabeth Harbison
7 9	Dale Carnegie was born at Maryville on 24 November 1888 . His mother is Amanda Elizabeth Harbison
14 16	Dale Carnegie was born at Maryville on 24 November 1888 . His mother is Amanda Elizabeth Harbison
0 3	Edith Margaret Emily Ashcroft was born at Surrey on 22 July 1907 . His mother is Violetta Maud Bernheim
7 7	Edith Margaret Emily Ashcroft was born at Surrey on 22 July 1907 . His mother is Violetta Maud Bernheim
9 11	Edith Margaret Emily Ashcroft was born at Surrey on 22 July 1907 . His mother is Violetta Maud Bernheim
16 18	Edith Margaret Emily Ashcroft was born at Surrey on 22 July 1907 . His mother is Violetta Maud Bernheim
0 3	Edith Margaret Emily Ashcroft was born at Surrey on 22 December 1907 . His mother is Violetta Maud Bernheim
7 7	Edith Margaret Emily Ashcroft was born at Surrey on 22 December 1907 . His mother is Violetta Maud Bernheim
9 11	Edith Margaret Emily Ashcroft was born at Surrey on 22 December 1907 . His mother is Violetta Maud Bernheim
16 18	Edith Margaret Emily Ashcroft was born at Surrey on 22 December 1907 . His mother is Violetta Maud Bernheim
0 2	Solange Piaget Knowles was born at Houston on 24 June 1986 . His mother is Tina Knowles
6 6	Solange Piaget Knowles was born at Houston on 24 June 1986 . His mother is Tina Knowles
8 10	Solange Piaget Knowles was born at Houston on 24 June 1986 . His mother is Tina Knowles
15 16	Solange Piaget Knowles was born at Houston on 24 June 1986 . His mother is Tina Knowles
0 2	Khloé Alexandra Kardashian was born at Los Angeles on 27 June 1984 . His mother is Kris Jenner
6 7	Khloé Alexandra Kardashian was born at Los Angeles on 27 June 1984 . His mother is Kris Jenner
9 11	Khloé Alexandra Kardashian was born at Los Angeles on 27 June 1984 . His mother is Kris Jenner
16 17	Khloé Alexandra Kardashian was born at Los Angeles on 27 June 1984 . His mother is Kris Jenner
0 3	Gertrude Margaret Lowthian Bell was born at County Durham on 14 July 1868 . His mother is Maria Shield
7 8	Gertrude Margaret Lowthian Bell was born at County Durham on 14 July 1868 . His mother is Maria Shield
10 12	Gertrude Margaret Lowthian Bell was born at County Durham on 14 July 1868 . His mother is Maria Shield
17 18	Gertrude Margaret Lowthian Bell was born at County Durham on 14 July 1868 . His mother is Maria Shield
0 2	Katherine Elizabeth Upton was born at St. Joseph on 10 June 1992 . His mother is Shelley
6 7	Katherine Elizabeth Upton was born at St. Joseph on 10 June 1992 . His mother is Shelley
9 11	Katherine Elizabeth Upton was born at St. Joseph on 10 June 1992 . His mother is Shelley
16 16	Katherine Elizabeth Upton was born at St. Joseph on 10 June 1992 . His mother is Shelley
0 2	Dakota Mayi Johnson was born at Austin on 04 October 1989 . His mother is Melanie Griffith
6 6	Dakota Mayi Johnson was born at Austin on 04 October 1989 . His mother is Melanie Griffith
8 10	Dakota Mayi Johnson was born at Austin on 04 October 1989 . His mother is Melanie Griffith
15 16	Dakota Mayi Johnson was born at Austin on 04 October 1989 . His mother is Melanie Griffith
0 2	Bhīvā Rāmjī Sakpāḷ was born at Bhim Janmabhoomi on 14 April 1891 . His mother is Bhimabai Ramji Sakpal
6 7	Bhīvā Rāmjī Sakpāḷ was born at Bhim Janmabhoomi on 14 April 1891 . His mother is Bhimabai Ramji Sakpal
9 11	Bhīvā Rāmjī Sakpāḷ was born at Bhim Janmabhoomi on 14 April 1891 . His mother is Bhimabai Ramji Sakpal
16 18	Bhīvā Rāmjī Sakpāḷ was born at Bhim Janmabhoomi on 14 April 1891 . His mother is Bhimabai Ramji Sakpal
0 2	Bhīvā Rāmjī Sakpāḷ was born at Dr. Ambedkar Nagar (Mhow) on 14 April 1891 . His mother is Bhimabai Ramji Sakpal
6 9	Bhīvā Rāmjī Sakpāḷ was born at Dr. Ambedkar Nagar (Mhow) on 14 April 1891 . His mother is Bhimabai Ramji Sakpal
11 13	Bhīvā Rāmjī Sakpāḷ was born at Dr. Ambedkar Nagar (Mhow) on 14 April 1891 . His mother is Bhimabai Ramji Sakpal
18 20	Bhīvā Rāmjī Sakpāḷ was born at Dr. Ambedkar Nagar (Mhow) on 14 April 1891 . His mother is Bhimabai Ramji Sakpal
0 5	St. George William Lane Lane Fox was born at Malta on 14 September 1856 . His mother is Alice Stanley
9 9	St. George William Lane Lane Fox was born at Malta on 14 September 1856 . His mother is Alice Stanley
11 13	St. George William Lane Lane Fox was born at Malta on 14 September 1856 . His mother is Alice Stanley
18 19	St. George William Lane Lane Fox was born at Malta on 14 September 1856 . His mother is Alice Stanley
0 2	Natalie Maria Cole was born at Los Angeles on 06 February 1950 . His mother is Maria Cole
6 7	Natalie Maria Cole was born at Los Angeles on 06 February 1950 . His mother is Maria Cole
9 11	Natalie Maria Cole was born at Los Angeles on 06 February 1950 . His mother is Maria Cole
16 17	Natalie Maria Cole was born at Los Angeles on 06 February 1950 . His mother is Maria Cole
0 2	Lucile Vasconcellos Langhanke was born at Quincy on 03 May 1906 . His mother is Helen Vasconcelles
6 6	Lucile Vasconcellos Langhanke was born at Quincy on 03 May 1906 . His mother is Helen Vasconcelles
8 10	Lucile Vasconcellos Langhanke was born at Quincy on 03 May 1906 . His mother is Helen Vasconcelles
15 16	Lucile Vasconcellos Langhanke was born at Quincy on 03 May 1906 . His mother is Helen Vasconcelles
0 2	Esther Jane Williams was born at Inglewood on 08 August 1921 . His mother is Bula
6 6	Esther Jane Williams was born at Inglewood on 08 August 1921 . His mother is Bula
8 10	Esther Jane Williams was born at Inglewood on 08 August 1921 . His mother is Bula
15 15	Esther Jane Williams was born at Inglewood on 08 August 1921 . His mother is Bula
0 2	Philippa Charlotte Middleton was born at Royal Berkshire Hospital on 06 September 1983 . His mother is Carole Middleton
6 8	Philippa Charlotte Middleton was born at Royal Berkshire Hospital on 06 September 1983 . His mother is Carole Middleton
10 12	Philippa Charlotte Middleton was born at Royal Berkshire Hospital on 06 September 1983 . His mother is Carole Middleton
17 18	Philippa Charlotte Middleton was born at Royal Berkshire Hospital on 06 September 1983 . His mother is Carole Middleton
0 1	Mary Sidney was born on 18 October 1587 . His mother is Barbara Sidney, Countess of Leicester
5 7	Mary Sidney was born on 18 October 1587 . His mother is Barbara Sidney, Countess of Leicester
12 16	Mary Sidney was born on 18 October 1587 . His mother is Barbara Sidney, Countess of Leicester
0 1	Mary Sidney was born on 01 January 1586 . His mother is Barbara Sidney, Countess of Leicester
5 7	Mary Sidney was born on 01 January 1586 . His mother is Barbara Sidney, Countess of Leicester
12 16	Mary Sidney was born on 01 January 1586 . His mother is Barbara Sidney, Countess of Leicester
0 2	Alice Sophia Eve was born at London on 06 February 1982 . His mother is Sharon Maughan
6 6	Alice Sophia Eve was born at London on 06 February 1982 . His mother is Sharon Maughan
8 10	Alice Sophia Eve was born at London on 06 February 1982 . His mother is Sharon Maughan
15 16	Alice Sophia Eve was born at London on 06 February 1982 . His mother is Sharon Maughan
0 2	Mary Temple Grandin was born at Boston on 29 August 1947 . His mother is Anna Eustacia Cutler
6 6	Mary Temple Grandin was born at Boston on 29 August 1947 . His mother is Anna Eustacia Cutler
8 10	Mary Temple Grandin was born at Boston on 29 August 1947 . His mother is Anna Eustacia Cutler
15 17	Mary Temple Grandin was born at Boston on 29 August 1947 . His mother is Anna Eustacia Cutler
0 2	Stella Nina McCartney was born at Lambeth on 13 September 1971 . His mother is Linda McCartney
6 6	Stella Nina McCartney was born at Lambeth on 13 September 1971 . His mother is Linda McCartney
8 10	Stella Nina McCartney was born at Lambeth on 13 September 1971 . His mother is Linda McCartney
15 16	Stella Nina McCartney was born at Lambeth on 13 September 1971 . His mother is Linda McCartney
0 2	Rebecca Jane Pearch was born at Santa Rosa on 29 August 1959 . His mother is Julie Eager
6 7	Rebecca Jane Pearch was born at Santa Rosa on 29 August 1959 . His mother is Julie Eager
9 11	Rebecca Jane Pearch was born at Santa Rosa on 29 August 1959 . His mother is Julie Eager
16 17	Rebecca Jane Pearch was born at Santa Rosa on 29 August 1959 . His mother is Julie Eager
0 1	Eleanor Geisman was born at The Bronx on 07 October 1917 . His mother is Clara Provost
5 6	Eleanor Geisman was born at The Bronx on 07 October 1917 . His mother is Clara Provost
8 10	Eleanor Geisman was born at The Bronx on 07 October 1917 . His mother is Clara Provost
15 16	Eleanor Geisman was born at The Bronx on 07 October 1917 . His mother is Clara Provost
0 2	Jennifer Leigh Morrow was born at Hollywood on 05 February 1962 . His mother is Barbara Turner
6 6	Jennifer Leigh Morrow was born at Hollywood on 05 February 1962 . His mother is Barbara Turner
8 10	Jennifer Leigh Morrow was born at Hollywood on 05 February 1962 . His mother is Barbara Turner
15 16	Jennifer Leigh Morrow was born at Hollywood on 05 February 1962 . His mother is Barbara Turner
0 2	Valerie June Carter was born at Maces Spring on 23 June 1929 . His mother is Maybelle Carter
6 7	Valerie June Carter was born at Maces Spring on 23 June 1929 . His mother is Maybelle Carter
9 11	Valerie June Carter was born at Maces Spring on 23 June 1929 . His mother is Maybelle Carter
16 17	Valerie June Carter was born at Maces Spring on 23 June 1929 . His mother is Maybelle Carter
0 2	Edward Gough Whitlam was born at Gough Whitlam\'s birthplace on 11 July 1916 . His mother is Martha Maddocks
6 8	Edward Gough Whitlam was born at Gough Whitlam\'s birthplace on 11 July 1916 . His mother is Martha Maddocks
10 12	Edward Gough Whitlam was born at Gough Whitlam\'s birthplace on 11 July 1916 . His mother is Martha Maddocks
17 18	Edward Gough Whitlam was born at Gough Whitlam\'s birthplace on 11 July 1916 . His mother is Martha Maddocks
0 2	Sally Cecilia Hawkins was born at Dulwich on 27 April 1976 . His mother is Jacqui Hawkins
6 6	Sally Cecilia Hawkins was born at Dulwich on 27 April 1976 . His mother is Jacqui Hawkins
8 10	Sally Cecilia Hawkins was born at Dulwich on 27 April 1976 . His mother is Jacqui Hawkins
15 16	Sally Cecilia Hawkins was born at Dulwich on 27 April 1976 . His mother is Jacqui Hawkins
0 2	Florence Mabel Kling was born at Marion on 15 August 1860 . His mother is Louisa M. Bouton
6 6	Florence Mabel Kling was born at Marion on 15 August 1860 . His mother is Louisa M. Bouton
8 10	Florence Mabel Kling was born at Marion on 15 August 1860 . His mother is Louisa M. Bouton
15 17	Florence Mabel Kling was born at Marion on 15 August 1860 . His mother is Louisa M. Bouton
0 1	Dolley Payne was born at Guilford County on 20 May 1768 . His mother is Mary Coles
5 6	Dolley Payne was born at Guilford County on 20 May 1768 . His mother is Mary Coles
8 10	Dolley Payne was born at Guilford County on 20 May 1768 . His mother is Mary Coles
15 16	Dolley Payne was born at Guilford County on 20 May 1768 . His mother is Mary Coles
0 2	Julia Boggs Dent was born at St. Louis on 26 January 1826 . His mother is Ellen Bray Wrenshall
6 7	Julia Boggs Dent was born at St. Louis on 26 January 1826 . His mother is Ellen Bray Wrenshall
9 11	Julia Boggs Dent was born at St. Louis on 26 January 1826 . His mother is Ellen Bray Wrenshall
16 18	Julia Boggs Dent was born at St. Louis on 26 January 1826 . His mother is Ellen Bray Wrenshall
0 2	Frank Clara Folsom was born at Buffalo on 21 July 1864 . His mother is Emma Cornelia Harmon
6 6	Frank Clara Folsom was born at Buffalo on 21 July 1864 . His mother is Emma Cornelia Harmon
8 10	Frank Clara Folsom was born at Buffalo on 21 July 1864 . His mother is Emma Cornelia Harmon
15 17	Frank Clara Folsom was born at Buffalo on 21 July 1864 . His mother is Emma Cornelia Harmon
0 2	Claudia Alta Taylor was born at Karnack on 22 December 1912 . His mother is Minnie Pattillo
6 6	Claudia Alta Taylor was born at Karnack on 22 December 1912 . His mother is Minnie Pattillo
8 10	Claudia Alta Taylor was born at Karnack on 22 December 1912 . His mother is Minnie Pattillo
15 16	Claudia Alta Taylor was born at Karnack on 22 December 1912 . His mother is Minnie Pattillo
0 2	Charlotte Ninon Coleman was born at Islington on 03 April 1968 . His mother is Ann Beach
6 6	Charlotte Ninon Coleman was born at Islington on 03 April 1968 . His mother is Ann Beach
8 10	Charlotte Ninon Coleman was born at Islington on 03 April 1968 . His mother is Ann Beach
15 16	Charlotte Ninon Coleman was born at Islington on 03 April 1968 . His mother is Ann Beach
0 2	Elizabeth Victoria Montgomery was born at Hollywood on 15 April 1933 . His mother is Elizabeth Bryan Allen
6 6	Elizabeth Victoria Montgomery was born at Hollywood on 15 April 1933 . His mother is Elizabeth Bryan Allen
8 10	Elizabeth Victoria Montgomery was born at Hollywood on 15 April 1933 . His mother is Elizabeth Bryan Allen
15 17	Elizabeth Victoria Montgomery was born at Hollywood on 15 April 1933 . His mother is Elizabeth Bryan Allen
0 2	Nancy Sandra Sinatra was born at Jersey City on 08 June 1940 . His mother is Nancy Sinatra
6 7	Nancy Sandra Sinatra was born at Jersey City on 08 June 1940 . His mother is Nancy Sinatra
9 11	Nancy Sandra Sinatra was born at Jersey City on 08 June 1940 . His mother is Nancy Sinatra
16 17	Nancy Sandra Sinatra was born at Jersey City on 08 June 1940 . His mother is Nancy Sinatra
0 4	Princess Cäcilie Auguste of Baden was born at Karlsruhe on 20 September 1839 . His mother is Princess Sophie of Sweden
8 8	Princess Cäcilie Auguste of Baden was born at Karlsruhe on 20 September 1839 . His mother is Princess Sophie of Sweden
10 12	Princess Cäcilie Auguste of Baden was born at Karlsruhe on 20 September 1839 . His mother is Princess Sophie of Sweden
17 20	Princess Cäcilie Auguste of Baden was born at Karlsruhe on 20 September 1839 . His mother is Princess Sophie of Sweden
0 2	Mariel Hadley Hemingway was born at Mill Valley on 22 November 1961 . His mother is Byra Louise Whittlesey
6 7	Mariel Hadley Hemingway was born at Mill Valley on 22 November 1961 . His mother is Byra Louise Whittlesey
9 11	Mariel Hadley Hemingway was born at Mill Valley on 22 November 1961 . His mother is Byra Louise Whittlesey
16 18	Mariel Hadley Hemingway was born at Mill Valley on 22 November 1961 . His mother is Byra Louise Whittlesey
0 2	Tamera Darvette Mowry was born at Gelnhausen on 06 July 1978 . His mother is Darlene Mowry
6 6	Tamera Darvette Mowry was born at Gelnhausen on 06 July 1978 . His mother is Darlene Mowry
8 10	Tamera Darvette Mowry was born at Gelnhausen on 06 July 1978 . His mother is Darlene Mowry
15 16	Tamera Darvette Mowry was born at Gelnhausen on 06 July 1978 . His mother is Darlene Mowry
0 1	Abigail Powers was born at Saratoga County on 13 March 1798 . His mother is Abigail Newland
5 6	Abigail Powers was born at Saratoga County on 13 March 1798 . His mother is Abigail Newland
8 10	Abigail Powers was born at Saratoga County on 13 March 1798 . His mother is Abigail Newland
15 16	Abigail Powers was born at Saratoga County on 13 March 1798 . His mother is Abigail Newland
0 2	Marie Louise Hartman was born at Berkeley on 11 March 1959 . His mother is Blanche Hartman
6 6	Marie Louise Hartman was born at Berkeley on 11 March 1959 . His mother is Blanche Hartman
8 10	Marie Louise Hartman was born at Berkeley on 11 March 1959 . His mother is Blanche Hartman
15 16	Marie Louise Hartman was born at Berkeley on 11 March 1959 . His mother is Blanche Hartman
0 3	Victoria Alexandra Olga Mary was born at Marlborough House on 06 July 1868 . His mother is Alexandra of Denmark
7 8	Victoria Alexandra Olga Mary was born at Marlborough House on 06 July 1868 . His mother is Alexandra of Denmark
10 12	Victoria Alexandra Olga Mary was born at Marlborough House on 06 July 1868 . His mother is Alexandra of Denmark
17 19	Victoria Alexandra Olga Mary was born at Marlborough House on 06 July 1868 . His mother is Alexandra of Denmark
0 2	Brooke Ellen Bollea was born at Tampa on 05 May 1988 . His mother is Linda Hogan
6 6	Brooke Ellen Bollea was born at Tampa on 05 May 1988 . His mother is Linda Hogan
8 10	Brooke Ellen Bollea was born at Tampa on 05 May 1988 . His mother is Linda Hogan
15 16	Brooke Ellen Bollea was born at Tampa on 05 May 1988 . His mother is Linda Hogan
0 2	Christopher Whitelaw Pine was born at Los Angeles on 26 August 1980 . His mother is Gwynne Gilford
6 7	Christopher Whitelaw Pine was born at Los Angeles on 26 August 1980 . His mother is Gwynne Gilford
9 11	Christopher Whitelaw Pine was born at Los Angeles on 26 August 1980 . His mother is Gwynne Gilford
16 17	Christopher Whitelaw Pine was born at Los Angeles on 26 August 1980 . His mother is Gwynne Gilford
0 2	John O. Stevens was born on 14 November 1935 . His mother is Barry Stevens
6 8	John O. Stevens was born on 14 November 1935 . His mother is Barry Stevens
13 14	John O. Stevens was born on 14 November 1935 . His mother is Barry Stevens
0 2	John O. Stevens was born on 01 January 1935 . His mother is Barry Stevens
6 8	John O. Stevens was born on 01 January 1935 . His mother is Barry Stevens
13 14	John O. Stevens was born on 01 January 1935 . His mother is Barry Stevens
0 2	Priscilla Ann Wagner was born at Brooklyn on 24 May 1945 . His mother is Ann
6 6	Priscilla Ann Wagner was born at Brooklyn on 24 May 1945 . His mother is Ann
8 10	Priscilla Ann Wagner was born at Brooklyn on 24 May 1945 . His mother is Ann
15 15	Priscilla Ann Wagner was born at Brooklyn on 24 May 1945 . His mother is Ann
0 2	Joan Violet Maurice was born at Camberley on 31 October 1903 . His mother is Margaret Helen Marsh
6 6	Joan Violet Maurice was born at Camberley on 31 October 1903 . His mother is Margaret Helen Marsh
8 10	Joan Violet Maurice was born at Camberley on 31 October 1903 . His mother is Margaret Helen Marsh
15 17	Joan Violet Maurice was born at Camberley on 31 October 1903 . His mother is Margaret Helen Marsh
0 2	Alice Hastings Bradley was born at Chicago on 01 January 1916 . His mother is Mary Hastings Bradley
6 6	Alice Hastings Bradley was born at Chicago on 01 January 1916 . His mother is Mary Hastings Bradley
8 10	Alice Hastings Bradley was born at Chicago on 01 January 1916 . His mother is Mary Hastings Bradley
15 17	Alice Hastings Bradley was born at Chicago on 01 January 1916 . His mother is Mary Hastings Bradley
0 2	Alice Hastings Bradley was born at Chicago on 24 August 1915 . His mother is Mary Hastings Bradley
6 6	Alice Hastings Bradley was born at Chicago on 24 August 1915 . His mother is Mary Hastings Bradley
8 10	Alice Hastings Bradley was born at Chicago on 24 August 1915 . His mother is Mary Hastings Bradley
15 17	Alice Hastings Bradley was born at Chicago on 24 August 1915 . His mother is Mary Hastings Bradley
0 3	George Herbert Walker Bush was born at Milton on 12 June 1924 . His mother is Dorothy Walker Bush
7 7	George Herbert Walker Bush was born at Milton on 12 June 1924 . His mother is Dorothy Walker Bush
9 11	George Herbert Walker Bush was born at Milton on 12 June 1924 . His mother is Dorothy Walker Bush
16 18	George Herbert Walker Bush was born at Milton on 12 June 1924 . His mother is Dorothy Walker Bush
0 2	Mary Morse Baker was born at Bow on 16 July 1821 . His mother is Abigail Ambrose Baker
6 6	Mary Morse Baker was born at Bow on 16 July 1821 . His mother is Abigail Ambrose Baker
8 10	Mary Morse Baker was born at Bow on 16 July 1821 . His mother is Abigail Ambrose Baker
15 17	Mary Morse Baker was born at Bow on 16 July 1821 . His mother is Abigail Ambrose Baker
0 1	Mary Pierrepont was born at Nottingham on 01 January 1689 . His mother is Lady Mary Feilding
5 5	Mary Pierrepont was born at Nottingham on 01 January 1689 . His mother is Lady Mary Feilding
7 9	Mary Pierrepont was born at Nottingham on 01 January 1689 . His mother is Lady Mary Feilding
14 16	Mary Pierrepont was born at Nottingham on 01 January 1689 . His mother is Lady Mary Feilding
0 1	Mary Pierrepont was born at Nottingham on 15 May 1689 . His mother is Lady Mary Feilding
5 5	Mary Pierrepont was born at Nottingham on 15 May 1689 . His mother is Lady Mary Feilding
7 9	Mary Pierrepont was born at Nottingham on 15 May 1689 . His mother is Lady Mary Feilding
14 16	Mary Pierrepont was born at Nottingham on 15 May 1689 . His mother is Lady Mary Feilding
0 4	Olga of Greece and Denmark was born at Tatoi Palace on 11 June 1903 . His mother is Grand Duchess Elena Vladimirovna of Russia
8 9	Olga of Greece and Denmark was born at Tatoi Palace on 11 June 1903 . His mother is Grand Duchess Elena Vladimirovna of Russia
11 13	Olga of Greece and Denmark was born at Tatoi Palace on 11 June 1903 . His mother is Grand Duchess Elena Vladimirovna of Russia
18 23	Olga of Greece and Denmark was born at Tatoi Palace on 11 June 1903 . His mother is Grand Duchess Elena Vladimirovna of Russia
0 2	Victoria Mary Sackville-West was born at Knole House on 09 March 1892 . His mother is Victoria Sackville-West
6 7	Victoria Mary Sackville-West was born at Knole House on 09 March 1892 . His mother is Victoria Sackville-West
9 11	Victoria Mary Sackville-West was born at Knole House on 09 March 1892 . His mother is Victoria Sackville-West
16 17	Victoria Mary Sackville-West was born at Knole House on 09 March 1892 . His mother is Victoria Sackville-West
0 1	Georgiana Spencer was born at Althorp on 07 June 1757 . His mother is Georgiana Spencer, Countess Spencer
5 5	Georgiana Spencer was born at Althorp on 07 June 1757 . His mother is Georgiana Spencer, Countess Spencer
7 9	Georgiana Spencer was born at Althorp on 07 June 1757 . His mother is Georgiana Spencer, Countess Spencer
14 17	Georgiana Spencer was born at Althorp on 07 June 1757 . His mother is Georgiana Spencer, Countess Spencer
0 1	Amy Beach was born at Henniker on 05 September 1867 . His mother is Clara Imogene Marcy Cheney
5 5	Amy Beach was born at Henniker on 05 September 1867 . His mother is Clara Imogene Marcy Cheney
7 9	Amy Beach was born at Henniker on 05 September 1867 . His mother is Clara Imogene Marcy Cheney
14 17	Amy Beach was born at Henniker on 05 September 1867 . His mother is Clara Imogene Marcy Cheney
0 2	Alice Mary Norton was born at Cleveland on 17 February 1912 . His mother is Bertha Stemm Norton
6 6	Alice Mary Norton was born at Cleveland on 17 February 1912 . His mother is Bertha Stemm Norton
8 10	Alice Mary Norton was born at Cleveland on 17 February 1912 . His mother is Bertha Stemm Norton
15 17	Alice Mary Norton was born at Cleveland on 17 February 1912 . His mother is Bertha Stemm Norton
0 3	Mary Barbara Hamilton Cartland was born at Edgbaston on 09 July 1901 . His mother is Mary Hamilton Scobell
7 7	Mary Barbara Hamilton Cartland was born at Edgbaston on 09 July 1901 . His mother is Mary Hamilton Scobell
9 11	Mary Barbara Hamilton Cartland was born at Edgbaston on 09 July 1901 . His mother is Mary Hamilton Scobell
16 18	Mary Barbara Hamilton Cartland was born at Edgbaston on 09 July 1901 . His mother is Mary Hamilton Scobell
